transaction_amt,transaction_hr,payment_mtd,product_cat,product_qty,customer_age,customer_dev,account_days
118.37,7,credit card,clothing,4,31,mobile,58
29.81,13,credit card,clothing,1,23,tablet,261
150.43,17,credit card,home & garden,4,39,desktop,43
30.32,8,bank transfer,toys & games,2,45,mobile,339
148.16,15,PayPal,health & beauty,5,25,tablet,99
213.2,17,debit card,health & beauty,2,27,mobile,218
214.82,0,debit card,clothing,4,38,mobile,365
23.73,22,bank transfer,clothing,5,42,tablet,192
92.87,11,credit card,clothing,2,16,tablet,223
27.84,17,debit card,home & garden,2,61,tablet,94
101.76,0,credit card,electronics,4,26,mobile,297
45.7,3,credit card,toys & games,5,44,desktop,64
280.08,14,bank transfer,toys & games,4,33,mobile,107
314.19,0,credit card,clothing,2,18,desktop,302
136.02,16,debit card,health & beauty,3,21,desktop,1
1213.92,11,debit card,toys & games,1,18,tablet,354
130.68,0,PayPal,toys & games,5,26,mobile,298
165.89,10,bank transfer,health & beauty,5,45,mobile,100
60.22,9,credit card,electronics,5,30,desktop,68
94.23,14,bank transfer,health & beauty,4,26,tablet,27
123.18,4,credit card,electronics,4,36,desktop,127
198.64,5,debit card,health & beauty,5,32,tablet,262
50.15,3,bank transfer,clothing,5,28,desktop,313
372.97,4,debit card,electronics,5,33,desktop,320
268.44,9,PayPal,electronics,3,31,desktop,145
127.8,14,bank transfer,toys & games,5,39,mobile,104
55.69,18,debit card,home & garden,2,33,mobile,118
71.01,10,PayPal,clothing,5,38,desktop,223
196.82,17,PayPal,toys & games,4,51,mobile,232
10.6,17,credit card,health & beauty,4,43,mobile,155
34.4,7,credit card,electronics,2,41,mobile,313
22.72,10,credit card,toys & games,1,28,mobile,266
195.39,15,PayPal,electronics,4,27,tablet,151
113.97,5,bank transfer,toys & games,4,26,tablet,223
62.18,19,bank transfer,clothing,2,32,tablet,64
166.64,23,debit card,electronics,3,30,tablet,71
377.57,23,debit card,health & beauty,1,27,desktop,301
101.53,19,bank transfer,health & beauty,2,30,tablet,4
106.98,12,credit card,home & garden,5,30,mobile,286
304.29,18,bank transfer,clothing,2,29,desktop,346
22.34,1,PayPal,clothing,5,29,mobile,216
13.78,21,bank transfer,health & beauty,4,30,mobile,164
83.28,5,debit card,toys & games,5,36,tablet,210
25.28,21,PayPal,electronics,1,33,tablet,44
352.32,14,credit card,toys & games,5,38,desktop,212
135.45,6,debit card,clothing,4,26,desktop,170
123.34,0,credit card,toys & games,3,41,desktop,8
202.69,10,credit card,home & garden,4,19,desktop,327
21.26,1,bank transfer,clothing,4,25,desktop,192
32.05,13,bank transfer,electronics,4,35,tablet,168
116.14,9,PayPal,toys & games,2,46,desktop,332
18.38,21,bank transfer,home & garden,3,50,mobile,299
170.7,18,debit card,health & beauty,5,38,tablet,260
290.86,11,bank transfer,toys & games,4,44,tablet,42
217.52,19,credit card,home & garden,3,26,tablet,29
46.78,0,PayPal,toys & games,1,35,mobile,359
33.42,18,bank transfer,clothing,4,22,mobile,8
338.3,22,credit card,electronics,4,37,desktop,182
92.21,8,debit card,clothing,5,42,mobile,157
147.88,6,credit card,health & beauty,4,44,desktop,58
50.46,9,credit card,home & garden,3,31,tablet,1
17.88,2,bank transfer,toys & games,4,28,tablet,15
207.26,8,credit card,electronics,5,37,mobile,50
295.33,3,credit card,toys & games,2,20,mobile,150
293.43,0,PayPal,clothing,4,40,desktop,216
421.93,6,bank transfer,health & beauty,2,33,desktop,226
12.31,6,bank transfer,home & garden,1,45,tablet,177
450.68,10,bank transfer,health & beauty,3,34,desktop,174
101.65,15,debit card,home & garden,3,27,mobile,243
122.15,12,bank transfer,health & beauty,4,54,desktop,66
68.85,14,bank transfer,health & beauty,5,52,mobile,39
40.27,4,PayPal,electronics,3,43,mobile,108
142.37,17,bank transfer,toys & games,4,49,tablet,226
61.23,17,debit card,electronics,4,30,tablet,114
32.71,0,bank transfer,toys & games,4,23,mobile,80
14.24,0,bank transfer,home & garden,5,37,desktop,127
23.95,20,debit card,toys & games,2,36,desktop,88
74.99,7,bank transfer,toys & games,4,28,desktop,243
68.61,19,bank transfer,health & beauty,3,32,mobile,116
104.78,4,PayPal,health & beauty,3,35,mobile,26
84.8,7,credit card,toys & games,2,25,tablet,205
299.08,3,PayPal,electronics,5,21,tablet,361
55.14,16,PayPal,home & garden,1,29,tablet,138
862.54,6,bank transfer,toys & games,1,41,desktop,207
39.81,1,debit card,health & beauty,5,33,desktop,48
303.61,0,bank transfer,home & garden,4,40,desktop,57
263.12,21,debit card,toys & games,5,29,mobile,97
69.26,21,PayPal,clothing,5,48,mobile,345
473.56,20,bank transfer,electronics,3,24,mobile,224
171.76,20,debit card,clothing,4,39,mobile,180
114.72,8,bank transfer,electronics,2,51,tablet,189
73.44,12,credit card,electronics,3,30,desktop,148
157.88,2,credit card,electronics,3,29,desktop,109
176.34,19,credit card,clothing,3,31,mobile,46
118.43,4,credit card,health & beauty,3,27,tablet,7
41.11,23,PayPal,health & beauty,5,43,tablet,73
134.74,13,debit card,health & beauty,4,37,mobile,124
61.16,11,debit card,home & garden,2,38,mobile,287
123.22,21,debit card,health & beauty,2,49,desktop,16
111.45,5,debit card,health & beauty,4,21,tablet,98
129.85,12,credit card,toys & games,4,48,mobile,92
103.17,9,debit card,clothing,4,26,mobile,267
198.45,13,bank transfer,health & beauty,1,29,tablet,286
35.99,1,debit card,electronics,5,29,tablet,215
251.94,7,credit card,electronics,4,8,mobile,47
99.79,19,credit card,electronics,5,46,mobile,306
191.89,12,PayPal,health & beauty,4,34,desktop,228
122.22,17,credit card,electronics,3,40,desktop,339
35.84,12,PayPal,health & beauty,1,36,desktop,54
268.44,7,bank transfer,clothing,5,54,desktop,210
141.26,6,bank transfer,health & beauty,1,33,desktop,102
96.58,5,debit card,health & beauty,4,38,tablet,56
114.6,4,credit card,toys & games,4,30,mobile,27
63.49,2,debit card,electronics,3,13,mobile,184
71.11,7,credit card,clothing,2,44,desktop,61
172.88,13,PayPal,electronics,4,29,tablet,118
129.09,5,bank transfer,toys & games,3,28,mobile,85
213.32,11,credit card,health & beauty,5,22,tablet,305
128.63,2,bank transfer,electronics,2,40,desktop,54
160.33,1,PayPal,clothing,5,26,desktop,17
366.72,23,credit card,clothing,5,20,desktop,284
10.99,22,bank transfer,toys & games,3,34,desktop,343
94.29,9,bank transfer,clothing,5,35,tablet,79
142.98,11,bank transfer,electronics,4,47,mobile,214
237.08,1,PayPal,toys & games,5,30,desktop,248
576.72,7,bank transfer,toys & games,5,34,desktop,106
110.63,13,debit card,electronics,5,31,desktop,230
259.56,17,PayPal,electronics,5,56,tablet,350
20.18,13,credit card,electronics,5,29,tablet,305
194.43,19,debit card,clothing,5,28,mobile,26
305.13,13,bank transfer,electronics,5,26,desktop,18
99.93,15,debit card,electronics,3,32,mobile,46
208.34,18,debit card,electronics,1,39,desktop,20
221.54,19,credit card,electronics,5,34,mobile,149
272.9,15,bank transfer,clothing,4,26,mobile,287
1402.65,16,bank transfer,clothing,5,28,desktop,18
161.07,21,debit card,toys & games,3,30,tablet,274
34.72,13,credit card,electronics,5,50,mobile,10
111.04,6,bank transfer,electronics,2,32,mobile,18
327.07,22,bank transfer,toys & games,3,26,mobile,124
23.93,15,bank transfer,clothing,5,30,tablet,187
10.56,19,credit card,toys & games,1,20,tablet,195
34.68,14,credit card,health & beauty,1,47,tablet,32
386.6,23,bank transfer,health & beauty,4,53,desktop,314
165.76,11,PayPal,toys & games,2,29,desktop,23
82.89,19,bank transfer,electronics,3,36,mobile,250
312.3,1,credit card,health & beauty,5,24,tablet,94
25.17,5,PayPal,health & beauty,3,29,desktop,31
18.75,21,PayPal,home & garden,1,54,tablet,1
228.31,5,credit card,electronics,4,41,mobile,156
40.84,1,PayPal,electronics,5,35,tablet,256
275.69,8,bank transfer,electronics,4,41,desktop,273
126.35,8,debit card,electronics,5,25,desktop,104
212.26,14,PayPal,electronics,5,37,mobile,220
16.2,2,credit card,toys & games,1,31,tablet,180
90.07,1,bank transfer,health & beauty,2,13,mobile,83
19.46,2,debit card,health & beauty,3,40,mobile,16
59.24,9,debit card,health & beauty,1,20,mobile,321
47.68,8,debit card,home & garden,1,22,mobile,254
13.64,12,credit card,clothing,5,34,desktop,269
15.35,15,bank transfer,clothing,3,37,tablet,255
137.61,23,debit card,health & beauty,2,41,mobile,218
80.66,21,debit card,toys & games,5,31,mobile,288
41.09,10,bank transfer,toys & games,3,25,mobile,92
125.18,18,bank transfer,home & garden,2,18,tablet,295
53.39,21,bank transfer,electronics,4,32,mobile,361
336.92,1,PayPal,electronics,1,33,desktop,206
19.29,19,credit card,health & beauty,5,40,tablet,353
82.63,0,credit card,clothing,4,34,mobile,228
93.12,19,debit card,toys & games,4,36,mobile,242
77.39,14,debit card,clothing,2,38,tablet,174
38.91,0,bank transfer,electronics,3,26,desktop,223
96.26,17,debit card,clothing,2,45,desktop,342
81.34,16,bank transfer,toys & games,3,48,desktop,288
323.29,21,debit card,toys & games,5,32,mobile,212
60.46,5,PayPal,electronics,2,46,desktop,306
59.17,6,debit card,clothing,5,39,desktop,296
96.85,9,credit card,health & beauty,3,28,tablet,254
90.91,7,debit card,home & garden,5,46,tablet,24
47.24,10,PayPal,health & beauty,2,39,tablet,47
891.55,3,bank transfer,health & beauty,5,25,desktop,311
316.31,12,debit card,electronics,5,24,desktop,57
34.85,5,bank transfer,electronics,1,39,tablet,72
215.19,11,bank transfer,home & garden,5,45,mobile,347
19.53,6,debit card,electronics,4,35,mobile,235
36.54,19,PayPal,toys & games,1,15,tablet,322
35.98,15,credit card,toys & games,2,27,mobile,155
21.56,2,PayPal,toys & games,2,31,tablet,16
193.33,23,credit card,clothing,5,24,desktop,217
238.08,12,bank transfer,health & beauty,4,22,tablet,1
105.77,4,credit card,electronics,2,28,mobile,171
31.04,12,PayPal,electronics,2,44,tablet,231
131.87,6,bank transfer,electronics,2,42,mobile,102
118.17,14,debit card,clothing,3,29,mobile,234
120.38,19,PayPal,electronics,2,23,mobile,176
128.24,8,PayPal,toys & games,5,28,mobile,301
59.27,6,PayPal,home & garden,3,33,desktop,216
306.96,18,bank transfer,electronics,3,38,desktop,322
364.21,2,bank transfer,clothing,5,24,desktop,210
94.42,21,debit card,health & beauty,2,30,tablet,365
13,12,debit card,toys & games,5,35,tablet,280
577.28,23,debit card,electronics,5,27,desktop,268
263.19,13,debit card,toys & games,5,30,mobile,304
449.35,4,debit card,toys & games,1,30,mobile,104
163.91,1,debit card,electronics,3,33,mobile,183
28.05,23,PayPal,toys & games,5,25,desktop,63
72.7,17,PayPal,clothing,4,30,tablet,18
125.5,10,debit card,electronics,4,25,desktop,216
143.58,18,bank transfer,clothing,5,34,desktop,122
50.2,1,debit card,home & garden,2,32,tablet,92
149.83,20,credit card,health & beauty,2,26,desktop,184
25.92,18,bank transfer,clothing,2,21,tablet,357
107.35,11,PayPal,health & beauty,3,46,desktop,297
65.12,19,bank transfer,health & beauty,1,51,tablet,25
126.55,16,credit card,health & beauty,5,30,tablet,119
270.84,9,PayPal,clothing,5,22,desktop,7
20.72,13,debit card,toys & games,5,53,desktop,327
252.17,2,bank transfer,electronics,5,29,mobile,290
46.74,0,bank transfer,electronics,3,30,desktop,19
36.06,2,bank transfer,health & beauty,2,51,desktop,8
122.31,14,bank transfer,home & garden,5,28,desktop,64
29.18,13,credit card,health & beauty,3,24,mobile,134
200.35,0,bank transfer,electronics,5,36,desktop,160
104.86,21,bank transfer,electronics,3,18,mobile,296
172.63,6,debit card,toys & games,4,41,tablet,75
43.02,3,bank transfer,health & beauty,2,45,desktop,111
51.86,21,credit card,health & beauty,1,40,mobile,163
57.46,9,PayPal,toys & games,5,40,tablet,96
41.56,11,debit card,toys & games,2,40,desktop,270
18.34,19,debit card,electronics,3,28,desktop,285
99.17,7,bank transfer,home & garden,2,28,tablet,39
119.14,7,bank transfer,toys & games,5,33,mobile,216
71.75,12,debit card,clothing,5,46,tablet,79
51.68,0,debit card,toys & games,3,36,desktop,123
139.98,18,credit card,home & garden,2,32,tablet,93
24.42,13,credit card,health & beauty,3,31,tablet,198
23.56,5,PayPal,toys & games,1,28,desktop,60
208.97,20,debit card,toys & games,3,39,mobile,285
131.37,16,PayPal,toys & games,1,32,desktop,358
229.41,13,PayPal,health & beauty,4,32,desktop,21
131.51,3,bank transfer,health & beauty,2,38,mobile,142
20.06,16,credit card,toys & games,5,26,mobile,25
49.32,17,PayPal,clothing,2,18,desktop,188
107.06,7,credit card,toys & games,3,45,tablet,232
75.53,13,bank transfer,home & garden,3,25,tablet,352
226.2,20,debit card,toys & games,5,52,mobile,28
399.59,23,debit card,toys & games,5,30,desktop,176
153.06,20,credit card,clothing,4,28,desktop,44
185.62,6,debit card,electronics,5,34,mobile,259
143.38,17,credit card,health & beauty,3,26,tablet,11
16.1,14,credit card,home & garden,5,31,mobile,277
274.55,6,debit card,electronics,5,41,tablet,22
46.28,0,PayPal,toys & games,3,15,mobile,136
111.43,15,PayPal,health & beauty,3,29,desktop,222
181.68,12,bank transfer,health & beauty,4,36,desktop,316
52.66,3,bank transfer,electronics,4,29,desktop,283
63.95,9,debit card,health & beauty,3,41,desktop,13
109.24,19,credit card,health & beauty,3,20,tablet,343
160.18,13,credit card,toys & games,3,41,mobile,22
106.46,21,bank transfer,home & garden,2,46,desktop,14
487.26,23,bank transfer,home & garden,3,31,desktop,29
118.93,21,credit card,health & beauty,3,35,tablet,145
85.47,13,bank transfer,toys & games,2,17,desktop,31
102.81,20,credit card,electronics,3,20,desktop,209
140.5,20,debit card,home & garden,4,56,tablet,115
118.23,14,credit card,electronics,5,30,desktop,251
224.97,21,debit card,electronics,4,35,tablet,162
38.36,18,credit card,toys & games,4,48,mobile,111
1069.61,0,bank transfer,clothing,3,33,tablet,248
122.82,12,PayPal,home & garden,4,20,mobile,106
30.55,4,bank transfer,health & beauty,3,19,mobile,362
127,8,credit card,electronics,4,32,mobile,350
457.72,17,debit card,electronics,1,34,mobile,271
12.52,14,bank transfer,health & beauty,2,33,desktop,84
256.43,20,credit card,health & beauty,5,45,mobile,154
39.32,5,bank transfer,clothing,1,32,tablet,268
67.72,10,debit card,clothing,5,20,mobile,282
137.73,13,debit card,health & beauty,4,37,tablet,337
371.64,8,bank transfer,electronics,5,32,mobile,304
67.53,23,debit card,electronics,2,33,desktop,37
301.77,15,credit card,electronics,5,30,desktop,281
204.93,11,PayPal,health & beauty,4,29,desktop,316
103.07,3,bank transfer,health & beauty,2,21,mobile,181
202.27,12,debit card,electronics,5,33,mobile,336
232,15,debit card,electronics,2,25,desktop,170
202.57,20,debit card,clothing,5,34,tablet,255
31.85,10,debit card,home & garden,2,27,mobile,188
126.14,2,credit card,home & garden,3,50,tablet,189
29.85,6,debit card,clothing,1,35,mobile,273
421.9,0,debit card,health & beauty,4,26,desktop,47
210.08,7,credit card,electronics,5,25,tablet,333
85.62,21,debit card,electronics,3,31,desktop,160
66.94,7,credit card,home & garden,1,31,desktop,158
117.85,10,debit card,health & beauty,5,37,tablet,346
92.42,2,debit card,electronics,1,26,tablet,183
75.32,3,bank transfer,clothing,3,26,tablet,358
13.56,5,debit card,home & garden,2,27,desktop,218
252.68,21,debit card,electronics,5,38,desktop,235
180.04,4,PayPal,home & garden,4,42,tablet,13
15.51,19,credit card,health & beauty,1,36,desktop,174
89.55,18,debit card,toys & games,5,47,mobile,30
103.08,9,debit card,clothing,4,45,mobile,352
31.39,12,bank transfer,electronics,1,38,tablet,228
492.79,4,bank transfer,electronics,2,34,tablet,294
255.4,19,debit card,electronics,4,29,tablet,275
312.05,8,bank transfer,electronics,2,44,tablet,11
60.33,1,bank transfer,health & beauty,2,29,tablet,144
158.02,18,credit card,clothing,3,25,tablet,295
94.6,9,PayPal,clothing,3,25,mobile,53
13.39,21,credit card,clothing,4,32,mobile,220
10.79,2,debit card,electronics,2,33,mobile,125
17.6,7,credit card,health & beauty,2,28,tablet,51
474.99,22,bank transfer,health & beauty,4,55,desktop,107
319.17,20,debit card,health & beauty,5,31,desktop,107
95.98,15,bank transfer,health & beauty,5,34,desktop,251
94.62,13,bank transfer,health & beauty,3,48,mobile,188
168.28,19,credit card,toys & games,3,16,tablet,328
173.28,5,credit card,clothing,5,27,tablet,146
77,12,PayPal,health & beauty,4,28,desktop,131
218.86,20,debit card,home & garden,5,29,desktop,260
127.91,3,debit card,home & garden,3,16,tablet,202
43.19,2,PayPal,home & garden,5,45,mobile,168
489.67,7,bank transfer,clothing,2,23,tablet,145
54.11,10,credit card,health & beauty,4,14,tablet,334
36.42,21,debit card,health & beauty,3,28,desktop,26
273.93,3,debit card,home & garden,5,49,mobile,311
73.66,23,bank transfer,electronics,2,37,tablet,226
19.65,16,bank transfer,clothing,4,26,mobile,11
52.12,16,debit card,electronics,4,41,desktop,196
25.58,5,debit card,home & garden,4,38,desktop,115
865.85,12,bank transfer,electronics,3,34,mobile,180
38.87,4,bank transfer,electronics,3,36,desktop,12
192.92,2,credit card,clothing,2,34,desktop,311
22.09,7,credit card,toys & games,4,40,tablet,309
148.08,10,debit card,clothing,3,34,desktop,271
264.48,22,bank transfer,toys & games,4,18,tablet,69
162.53,1,debit card,health & beauty,3,33,mobile,360
118.72,20,credit card,clothing,2,42,mobile,179
88.99,22,credit card,health & beauty,2,33,mobile,44
59.24,11,credit card,health & beauty,3,44,mobile,333
195.43,0,bank transfer,toys & games,4,44,tablet,15
131.34,2,credit card,toys & games,3,17,tablet,337
28.3,10,debit card,clothing,3,37,tablet,316
168.49,16,credit card,electronics,3,29,mobile,42
109.66,7,bank transfer,home & garden,3,13,tablet,168
122.45,9,debit card,toys & games,3,34,mobile,338
79.87,1,PayPal,electronics,5,37,desktop,105
76.23,8,credit card,electronics,2,34,mobile,239
114.82,12,credit card,health & beauty,2,30,mobile,310
67.2,0,credit card,health & beauty,4,28,tablet,11
133.21,3,bank transfer,electronics,5,37,desktop,297
84.18,9,credit card,clothing,4,46,tablet,64
300.01,13,bank transfer,electronics,4,29,mobile,232
86.23,17,debit card,electronics,1,18,mobile,68
142.92,9,bank transfer,toys & games,4,30,tablet,353
148.52,15,credit card,electronics,2,40,desktop,313
110.45,23,bank transfer,clothing,2,41,desktop,54
203.23,6,credit card,health & beauty,2,33,desktop,80
285.31,16,PayPal,clothing,4,28,tablet,219
57.51,16,credit card,health & beauty,4,39,mobile,52
291.34,12,bank transfer,electronics,5,41,tablet,193
116.09,16,credit card,clothing,4,24,desktop,117
62.14,12,debit card,home & garden,1,42,mobile,254
78.94,10,debit card,electronics,2,43,mobile,269
88.43,3,debit card,health & beauty,3,31,desktop,117
160.41,11,debit card,clothing,5,27,mobile,217
53.58,11,debit card,clothing,4,31,desktop,55
222.33,17,bank transfer,electronics,3,26,tablet,98
65.9,14,credit card,home & garden,4,44,mobile,56
34.6,0,credit card,toys & games,4,28,mobile,162
61.4,23,credit card,home & garden,1,42,tablet,270
273.3,18,bank transfer,health & beauty,5,37,desktop,153
39.08,1,PayPal,health & beauty,4,35,mobile,309
67.56,2,bank transfer,toys & games,1,38,mobile,363
29.85,12,credit card,clothing,2,23,mobile,235
20.17,2,bank transfer,electronics,4,42,mobile,118
117.08,5,debit card,health & beauty,5,32,tablet,71
50.85,11,debit card,health & beauty,1,37,mobile,80
49.97,18,debit card,clothing,3,32,mobile,34
29.06,10,credit card,electronics,5,25,tablet,242
33.71,6,PayPal,toys & games,4,22,desktop,179
39.15,20,PayPal,clothing,3,48,tablet,311
141.24,0,bank transfer,electronics,4,21,desktop,33
34.42,9,credit card,toys & games,4,43,tablet,211
220.33,22,credit card,electronics,4,48,desktop,319
148.85,12,PayPal,electronics,5,16,tablet,223
159.97,23,debit card,home & garden,3,30,tablet,347
117.13,3,bank transfer,health & beauty,5,34,mobile,251
55.29,22,bank transfer,clothing,1,29,tablet,195
23.09,23,credit card,toys & games,4,55,desktop,146
10.13,2,bank transfer,clothing,3,31,desktop,321
149.15,2,bank transfer,toys & games,5,34,tablet,165
69.51,21,credit card,electronics,2,23,tablet,68
57.66,4,bank transfer,electronics,4,34,mobile,133
197.88,23,bank transfer,health & beauty,4,6,desktop,228
13.26,17,debit card,clothing,1,33,mobile,53
44.52,9,debit card,health & beauty,4,35,tablet,142
120.44,11,credit card,toys & games,3,39,tablet,209
355.11,12,debit card,toys & games,5,48,tablet,84
272.48,23,bank transfer,home & garden,4,30,desktop,285
36.17,5,credit card,home & garden,3,51,mobile,265
78.89,17,bank transfer,toys & games,5,44,tablet,154
88.05,14,debit card,health & beauty,3,33,tablet,119
150.36,5,debit card,clothing,3,34,desktop,110
16.1,21,debit card,toys & games,5,42,tablet,55
214.71,3,debit card,clothing,4,18,mobile,96
131.43,20,debit card,health & beauty,3,35,tablet,250
121.4,5,PayPal,health & beauty,3,23,desktop,326
20.69,6,credit card,electronics,5,20,mobile,140
244.49,17,PayPal,electronics,1,25,tablet,232
81.69,0,bank transfer,electronics,1,28,desktop,123
36.72,21,PayPal,health & beauty,4,29,tablet,247
34.14,12,credit card,clothing,2,27,desktop,342
127.81,8,PayPal,toys & games,4,23,mobile,27
12.68,11,bank transfer,clothing,2,24,desktop,289
20.87,20,credit card,home & garden,4,29,mobile,287
50.89,22,debit card,clothing,2,40,tablet,313
176.5,12,credit card,clothing,5,30,desktop,306
444.18,3,bank transfer,electronics,5,39,desktop,284
276.75,14,bank transfer,home & garden,4,31,tablet,311
92.27,14,bank transfer,electronics,4,28,desktop,312
56.42,14,credit card,health & beauty,3,32,tablet,346
106.93,0,bank transfer,health & beauty,2,34,desktop,325
245.94,11,bank transfer,health & beauty,5,44,mobile,157
186.7,3,PayPal,health & beauty,3,35,tablet,207
83.14,6,PayPal,toys & games,2,34,desktop,77
35.49,22,PayPal,health & beauty,5,27,desktop,134
53.59,17,debit card,clothing,3,35,mobile,360
170.4,6,credit card,home & garden,3,23,desktop,317
86.47,1,debit card,health & beauty,4,28,tablet,4
69.17,12,PayPal,electronics,2,39,desktop,103
75.54,4,debit card,health & beauty,4,34,tablet,33
52.32,12,debit card,health & beauty,4,19,desktop,281
75.72,20,debit card,clothing,5,50,desktop,16
177.83,15,PayPal,clothing,5,34,mobile,326
87.75,16,credit card,toys & games,3,28,mobile,73
585.27,7,credit card,electronics,5,39,desktop,40
56.07,23,credit card,health & beauty,2,30,mobile,2
172.8,10,bank transfer,health & beauty,4,33,mobile,142
232.21,12,credit card,electronics,4,30,tablet,8
129.29,2,bank transfer,clothing,3,36,tablet,216
91.12,4,debit card,clothing,3,34,tablet,337
69.45,7,PayPal,home & garden,5,47,desktop,143
39.6,0,credit card,toys & games,4,32,mobile,29
52.33,0,credit card,clothing,5,25,desktop,250
98.23,23,credit card,clothing,3,39,mobile,340
89.43,17,debit card,toys & games,5,32,mobile,334
109.21,13,debit card,electronics,2,28,tablet,192
151.75,11,PayPal,home & garden,5,20,mobile,228
51.04,2,PayPal,electronics,2,37,tablet,299
54.1,22,debit card,toys & games,3,43,desktop,78
308.38,3,debit card,home & garden,5,24,tablet,86
83.48,3,PayPal,health & beauty,3,22,tablet,194
23.74,19,debit card,health & beauty,3,36,mobile,81
165.38,14,debit card,health & beauty,4,38,tablet,358
27.91,20,debit card,health & beauty,5,27,desktop,307
83.98,14,bank transfer,clothing,2,47,tablet,16
149.98,11,debit card,electronics,3,41,mobile,142
229.49,14,credit card,toys & games,4,41,desktop,135
235.23,4,bank transfer,electronics,4,36,tablet,194
146.86,0,bank transfer,electronics,3,40,desktop,316
103.57,10,debit card,home & garden,3,26,mobile,286
369.01,22,credit card,electronics,5,48,desktop,106
34.97,0,credit card,health & beauty,2,34,tablet,332
116.04,1,credit card,electronics,3,25,mobile,91
364.13,23,debit card,electronics,2,31,mobile,290
76.88,18,PayPal,home & garden,4,48,tablet,126
96.83,2,bank transfer,toys & games,2,39,mobile,15
187.35,19,bank transfer,toys & games,4,42,mobile,154
239.11,12,PayPal,clothing,5,46,desktop,157
10.33,14,bank transfer,electronics,1,24,desktop,212
54.94,13,credit card,health & beauty,5,26,desktop,207
65.98,7,credit card,toys & games,2,35,tablet,298
15.38,1,credit card,clothing,4,29,desktop,271
265.64,11,bank transfer,health & beauty,5,33,tablet,4
134.38,18,credit card,home & garden,5,43,tablet,71
25.31,0,bank transfer,electronics,2,16,desktop,84
63.05,7,bank transfer,toys & games,4,25,desktop,336
52.71,21,debit card,clothing,1,35,desktop,231
19.93,0,credit card,health & beauty,5,26,mobile,45
1072.33,19,bank transfer,electronics,3,24,desktop,79
22.65,15,debit card,electronics,5,35,mobile,168
67.96,5,credit card,health & beauty,2,33,tablet,66
90.76,12,credit card,toys & games,3,42,mobile,64
23.82,18,debit card,electronics,5,37,tablet,152
51,4,credit card,toys & games,2,38,tablet,322
106.29,22,debit card,electronics,4,28,desktop,291
212.77,19,credit card,home & garden,4,48,mobile,348
73.81,23,credit card,home & garden,5,50,desktop,123
19.19,0,bank transfer,clothing,3,35,desktop,50
265.56,7,credit card,electronics,5,36,desktop,218
360.49,6,bank transfer,health & beauty,2,25,tablet,304
109.41,22,credit card,health & beauty,4,20,desktop,239
225.78,2,PayPal,health & beauty,4,35,mobile,267
28.92,0,credit card,electronics,5,29,tablet,129
145.39,4,credit card,electronics,5,33,tablet,27
31.14,3,bank transfer,home & garden,3,38,mobile,98
48.97,23,credit card,clothing,1,17,desktop,204
87.21,20,credit card,toys & games,2,21,tablet,359
62.43,18,bank transfer,electronics,3,32,desktop,142
98.13,19,debit card,health & beauty,3,40,desktop,307
87.53,2,bank transfer,health & beauty,4,46,mobile,330
146.32,0,debit card,home & garden,3,25,tablet,201
67.11,9,credit card,electronics,1,43,desktop,117
45.78,3,credit card,electronics,5,40,mobile,225
684.51,22,debit card,electronics,3,24,tablet,263
365.64,20,debit card,clothing,1,12,desktop,39
